M           age     RvRJ     logL
20.    0.01078   1.081    -8.25
20.    0.01167   1.074    -8.28
20.    0.01261   1.068    -8.31
20.    0.01471   1.055    -8.36
20.    0.01588   1.049    -8.39
20.    0.01849   1.036    -8.45
20.    0.02152   1.024    -8.52
20.    0.02323   1.018    -8.55
20.    0.02706   1.007    -8.61
20.    0.02923   1.001    -8.65
20.    0.03416   0.989    -8.72
20.    0.03696   0.984    -8.75
20.    0.04003   0.978    -8.79
20.    0.04707   0.967    -8.87
20.    0.05113   0.962    -8.91
20.    0.06054   0.951    -8.99
20.    0.06601   0.946    -9.03
20.    0.07209   0.940    -9.08
20.    0.08642   0.930    -9.17
20.    0.09490   0.925    -9.22
20.    0.10441   0.920    -9.27
20.    0.11515   0.915    -9.32
20.    0.12729   0.910    -9.37
20.    0.15684   0.900    -9.48
20.    0.17488   0.895    -9.54
20.    0.19566   0.891    -9.60
20.    0.21970   0.886    -9.67
20.    0.24767   0.881    -9.73
20.    0.27935   0.877    -9.80
20.    0.31104   0.873    -9.86
20.    0.34273   0.870    -9.92
20.    0.37442   0.867    -9.97
20.    0.40611   0.864   -10.01
20.    0.46948   0.860   -10.10
20.    0.53286   0.856   -10.17
20.    0.56455   0.854   -10.21
20.    0.65961   0.850   -10.30
20.    0.72299   0.848   -10.35
20.    0.81805   0.844   -10.42
20.    0.91312   0.842   -10.49
20.    1.00818   0.840   -10.55
20.    1.13493   0.837   -10.62
20.    1.26168   0.835   -10.68
20.    1.42013   0.832   -10.75
20.    1.61025   0.830   -10.78
20.    1.80038   0.828   -10.80
20.    2.02220   0.825   -10.82
20.    2.24402   0.823   -10.84
20.    2.52921   0.820   -10.87
20.    2.84609   0.817   -10.89
20.    3.16297   0.814   -10.92
20.    3.57492   0.810   -10.95
20.    3.98686   0.807   -10.97
20.    4.49387   0.803   -11.00
20.    5.03257   0.800   -11.04
20.    5.63464   0.796   -11.07
20.    6.33178   0.792   -11.10
20.    7.09229   0.788   -11.14
20.    7.94787   0.784   -11.18
20.    8.93020   0.780   -11.22
20.   10.00760   0.776   -11.26
