star,ra,dec,comment,ra_deg,dec_deg
HIP 159 ,00:02:02.6 ,-02:45:58.2 ,H-coron (~1 hr),0.510833333333333,-2.76616666666667
HD 105 ,00:05:52.5 ,-41:45:11.0 ,H-coron (~1 hr),1.46875,-41.7530555555556
HR 9 ,00:06:50.1 ,-23:06:27.1 ,H-coron (~1 hr); H-coron-pol,1.70875,-23.1075277777778
HD 377 ,00:08:26 ,06:37:00 ,H-coron-pol; H-coron-pol,2.10833333333333,6.61666666666667
HIP 795 ,00:09:51.6 ,08:27:11.5 ,H-coron (~1 hr),2.465,8.45319444444444
HD 987 ,00:13:52.8 ,-74:41:17.5 ,H-coron (~1 hr),3.47,-74.6881944444444
HD 984 ,00:14:10.2 ,-07:11:56.8 ,H-coron (~1 hr),3.5425,-7.19911111111111
HD 1237 ,00:16:12.7 ,-79:51:04.0 ,H-coron (~1 hr),4.05291666666667,-79.8511111111111
HIP 1427 ,00:17:50.0 ,16:19:51.6 ,H-coron (~1 hr),4.45833333333333,16.331
HD 1466 ,00:18:26.1 ,-63:28:39.0 ,H-coron (~1 hr); H-coron-pol,4.60875,-63.4775
HIP 1803 ,00:22:51.8 ,-12:12:34.0 ,H-coron (~1 hr),5.71583333333333,-12.2094444444444
HIP 2072 ,00:26:12.1 ,-43:40:47.7 ,H-coron (~1 hr),6.55041666666667,-43.6799166666667
HIP 2472 ,00:31:25.0 ,-48:48:12.7 ,H-coron (~1 hr); H-coron-pol,7.85416666666667,-48.8035277777778
* bet01 Tuc ,00:31:32.6 ,-62:57:29.5 ,H-coron (~1 hr),7.88583333333333,-62.9581944444444
HIP 2729 ,00:34:51.2 ,-61:54:58.0 ,H-coron (~1 hr),8.71333333333333,-61.9161111111111
HIP 2841 ,00:36:00.8 ,-59:43:01.9 ,H-coron (~1 hr),9.00333333333333,-59.7171944444444
HIP 3203 ,00:40:47.5 ,-07:13:56.6 ,H-coron (~1 hr),10.1979166666667,-7.23238888888889
HIP 3210 ,00:40:51.6 ,-53:12:35.7 ,H-coron (~1 hr); H-coron-pol,10.215,-53.2099166666667
HIP 3277 ,00:41:46.3 ,-56:30:05.2 ,H-coron (~1 hr),10.4429166666667,-56.5014444444444
HIP 3540 ,00:45:11.0 ,00:15:11.8 ,H-coron (~1 hr),11.2958333333333,0.253277777777778
HD 4944 ,00:50:24.3 ,-64:04:04.0 ,H-coron (~1 hr),12.60125,-64.0677777777778
HIP 4290 ,00:54:59.3 ,24:06:01.0 ,H-coron (~1 hr),13.7470833333333,24.1002777777778
HIP 5373 ,01:08:45.7 ,-25:51:40.0 ,H-coron (~1 hr),17.1904166666667,-25.8611111111111
HD 7112 ,01:09:56.6 ,-64:21:33.1 ,H-coron (~1 hr); H-coron-pol,17.4858333333333,-64.3591944444444
TYC 6427-300-1,01:12:40.5 ,-29:10:46.5 ,H-coron (~1 hr),18.16875,-29.1795833333333
HIP 5743 ,01:13:45.3 ,07:34:41.8 ,H-coron (~1 hr),18.43875,7.57827777777778
HD 8077 ,01:19:05.6 ,-53:51:01.9 ,H-coron (~1 hr),19.7733333333333,-53.8505277777778
HIP 6276 ,01:20:32.3 ,-11:28:03.7 ,H-coron (~1 hr),20.1345833333333,-11.4676944444444
HIP 6485 ,01:23:21.1 ,-57:28:50.5 ,H-coron (~1 hr),20.8379166666667,-57.4806944444444
HIP 6494 ,01:23:25.6 ,-76:36:42.1 ,H-coron (~1 hr); H-coron-pol,20.8566666666667,-76.6116944444444
HIP 6856 ,01:28:08.7 ,-52:38:19.1 ,H-coron (~1 hr),22.03625,-52.6386388888889
HIP 6960 ,01:29:36.1 ,-21:37:45.5 ,H-coron (~1 hr),22.4004166666667,-21.6293055555556
HIP 7345 ,01:34:37.7 ,-15:40:34.9 ,H-coron (~1 hr); H-coron-pol,23.6570833333333,-15.6763611111111
HIP 7576 ,01:37:35.4 ,-06:45:36.7 ,H-coron (~1 hr),24.3975,-6.76019444444444
HD 10800 ,01:37:55.6 ,-82:58:30.0 ,H-coron (~1 hr),24.4816666666667,-82.975
HD 10472 ,01:40:24.1 ,-60:59:56.6 ,H-coron (~1 hr); H-coron-pol,25.1004166666667,-60.9990555555556
HD 10647 ,01:42:29.3 ,-53:44:27.0 ,H-coron (~1 hr); H-coron-pol,25.6220833333333,-53.7408333333333
tau Cet ,01:44:04 ,-15:56:14 ,H-coron-pol,26.0166666666667,-15.9372222222222
HIP 8241 ,01:46:06.3 ,-53:31:19.3 ,H-coron (~1 hr); H-coron-pol,26.52625,-53.5220277777778
HIP 8661 ,01:51:36.3 ,-02:38:16.0 ,H-coron (~1 hr),27.90125,-2.63777777777778
HD 12039 ,01:57:48.9 ,-21:54:05.0 ,H-coron (~1 hr); H-coron-pol,29.45375,-21.9013888888889
HIP 9892 ,02:07:18.0 ,-53:11:56.4 ,H-coron (~1 hr); H-coron-pol,31.825,-53.199
HD 13246 ,02:07:26.0 ,-59:40:45.8 ,H-coron (~1 hr); H-coron-pol,31.8583333333333,-59.6793888888889
HD 14228 ,02:16:30.6 ,-51:30:44.0 ,H-coron (~1 hr),34.1275,-51.5122222222222
HIP 10786 ,02:18:53.2 ,-69:53:12.0 ,H-coron (~1 hr),34.7216666666667,-69.8866666666667
LP 353-51 ,02:23:26.6 ,22:44:06.7 ,H-coron (~1 hr),35.8608333333333,22.7351944444444
HD 15279 ,02:25:52.0 ,-52:57:52.1 ,H-coron (~1 hr); H-coron-pol,36.4666666666667,-52.9644722222222
HD 15115 ,02:26:16.2 ,06:17:33.6 ,H-coron (~1 hr); H-coron-pol,36.5675,6.29266666666667
HIP 11964 ,02:34:22.6 ,-43:47:47.0 ,H-coron (~1 hr),38.5941666666667,-43.7963888888889
HD 16699A ,02:38:44.2 ,-52:57:03.0 ,H-coron (~1 hr),39.6841666666667,-52.9508333333333
TYC 8484-1507-1,02:38:45.0 ,-52:57:08.0 ,H-coron (~1 hr),39.6875,-52.9522222222222
HD 16743 ,02:39:07.6 ,-52:56:05.3 ,H-coron (~1 hr); H-coron-pol,39.7816666666667,-52.9348055555555
HIP 12394 ,02:39:35.2 ,-68:16:00.8 ,H-coron (~1 hr),39.8966666666667,-68.2668888888889
HIP 12413 ,02:39:47.9 ,-42:53:29.8 ,H-coron (~1 hr),39.9495833333333,-42.8916111111111
HIP 12444 ,02:40:12.4 ,-09:27:10.4 ,H-coron (~1 hr),40.0516666666667,-9.45288888888889
zet Hor ,02:40:39.6 ,-54:33:00.0 ,H-coron (~1 hr),40.165,-54.55
* 84 Cet B ,02:41:13.7 ,-00:41:41.9 ,H-coron (~1 hr),40.3070833333333,-0.694972222222222
BD+05 378 ,02:41:25.8 ,05:59:18.4 ,H-coron (~1 hr),40.3575,5.98844444444444
HD 17051 ,02:42:33.5 ,-50:48:01.1 ,H-coron (~1 hr),40.6395833333333,-50.8003055555556
HIP 12787 ,02:44:21.3 ,10:57:41.2 ,H-coron (~1 hr),41.08875,10.9614444444444
HIP 12837 ,02:45:01.1 ,-22:09:58.7 ,H-coron (~1 hr),41.2545833333333,-22.1663055555556
HD 17390 ,02:46:45.1 ,-21:38:22.2 ,H-coron (~1 hr); H-coron-pol,41.6879166666667,-21.6395
TYC 1226-1676-2,02:47:27.2 ,19:22:21.2 ,H-coron (~1 hr),41.8633333333333,19.3725555555556
HD 17848 ,02:49:01.4 ,-62:48:23.7 ,H-coron (~1 hr); H-coron-pol,42.2558333333333,-62.8065833333333
HIP 13359 ,02:51:53.0 ,-61:37:05.0 ,H-coron (~1 hr),42.9708333333333,-61.6180555555556
HR 857 ,02:52:32.1 ,-12:46:10.9 ,H-coron (~1 hr); H-coron-pol,43.13375,-12.7696944444444
HIP 13847 ,02:58:15.7 ,-40:18:17.0 ,H-coron (~1 hr),44.5654166666667,-40.3047222222222
HIP 14007 ,03:00:19.7 ,-37:27:16.0 ,H-coron (~1 hr),45.0820833333333,-37.4544444444444
