key,ra,dec,tyc,hip,gaia_dr1,gaia_dr2
*26Gem,100.601342490316,17.6453203905195,1334-2419-1,32104,,3359404435457443456
*39Peg,338.14783721007,20.230020613262,1704-805-1,111278,1873642752320874624,1873642756615512320
*51Eri,69.4005512991946,-2.47354967414889,4739-1551-1,21547,,3205095125321700480
*61Vir,199.601311304266,-18.3111976190453,6116-1517-1,64924,,3507879565090229888
*84CetB,40.3074291666667,-0.694994444444444,4699-1214-2,,,
*111Tau,81.1060957388926,17.3835358558134,1300-2225-1,25278,,3400292798990117888
*betPic,86.82121658261,-51.0665035714408,8099-1392-1,27321,,4792774797545105664
*bet01Tuc,7.8861288024561,-62.9582185385798,8844-1519-1,2484,,4900927434176620160
*epsEri,53.2326880116021,-9.45825874386333,5296-1533-1,16537,,5164707970261630080
*etaCha,130.331310101139,-78.9633617552751,9403-1986-1,42637,,5209038595468151168
*etaCrv,188.017609007506,-16.1959945961219,6103-2394-1,61174,,3526420114272476800
*gLup,235.297412189673,-44.6612093522195,7849-3219-1,76829,,5989102478619519616
*gamDor,64.0066176296629,-51.4866441842472,8075-1796-1,19893,,4781833626056162688
*rhoTel,286.583148746368,-52.3409133369495,8386-2339-1,93815,,6656769472772280320
*tauCet,26.0170480153508,-15.9374818835411,5855-2292-1,8102,,2452378776434276992
*zetDor,76.3777340759685,-57.4727024810564,8514-2291-1,23693,,4763906879239461632
*zetHor,40.1650560084963,-54.5499109597141,8491-1600-1,12484,,4741336551221258112
BD+012447,157.231463754305,0.8410005049271,246-1068-1,51317,,3855208897392952192
BD+05378,40.3578675449125,5.9884430010626,53-30-1,12545,,18211043587721088
BD+071919,121.78788577707,7.38338618055554,,39721,,
BD+093000A,226.8872875,9.22604722222222,919-1659-1,,,
BD+172140,147.419361462709,16.370529010999,1411-690-1,48205,,619893286962005632
BD-136424,353.128589709656,-12.264295986075,5832-666-1,,2433191881917182208,2433191886212246784
BD-146241,334.002644956667,-14.1839616571132,5809-749-1,109941,2599963744033343872,2599963748329209984
BD-211074,76.708,-21.5858888888889,,,,
CD-2816938,312.449864788437,-28.4692052995772,6934-569-1,102817,,6795611300001195904
CD-352722,92.3300344360975,-35.8252952450119,7084-794-1,,2885863396053210496,2885863400349980288
CD-431846,81.5956995236168,-43.3767442888997,7607-1062-1,25434,4805713433767868416,4805713438064155008
CD-5012781,300.647297299667,-50.0477156623281,8399-2187-1,98681,,6667319389917674112
CD-519202,233.152933297653,-52.3557691908326,8307-34-1,76107,5888717887323346176,5888717891685279488
CD-547336,262.479489304956,-54.2635132487156,8728-2262-1,,5924485962642066048,5924485966955008896
CD-571054,75.196375051798,-57.2570703810868,8513-572-1,23309,4764027958661044352,4764027962957023104
CD-691055,194.606598455691,-70.4803191236694,9245-617-1,,5844573354457228928,5844573358774024320
CD-86147,351.955836152687,-86.2218631479204,9529-340-1,,6343381201126964096,6343381205422761984
CPD-552452B,145.668756995503,-55.8316246740647,8589-1882-2,,,5307856820759450880
CPD-579635B,303.735796854133,-56.9747249701217,8785-1322-1,,,6468703708258513024
CPD-722713,340.703892480531,-71.7058884398416,9340-437-1,,6382640328948202752,6382640367603744128
G150-52,209.317238722625,23.3623216130321,2006-629-1,68160,1251629405076244992,1251629409372044032
GJ285,116.16738595248,3.5524660639781,183-2190-1,37766,,3136952686035250688
GJ1144,169.09227671107,-14.6933763281128,5514-1135-1,55066,3561574967051518080,3561574971346845440
GJ1284,352.555993522777,-20.390957923025,6409-635-1,116003,,2391670474561181440
HD105,1.4689371973776,-41.7530683378903,7526-1226-1,490,4995853010350414976,4995853014646189696
HD377,2.1072733739216,6.6168022729561,7-632-1,682,2745647969564478720,2745647973856851712
HD984,3.5427211345951,-7.199115062514,4670-773-1,1134,2431157716685689728,2431157720981843200
HD987,3.4708774478434,-74.6882920135363,9140-1231-1,1113,4688292532592267264,4688292536884945536
HD1237,4.05282489182945,-79.8511785159118,9354-780-1,1292,,
HD1466,4.6088480113408,-63.4774948005543,8843-1330-1,1481,4901229039663980800,4901229043960053248
HD4944,12.6012900599344,-64.0677814645318,8845-234-1,3924,4709691502765285248,4709691507061406464
HD7112,17.4858684038924,-64.3592103871713,8852-401-1,5462,4709120409554140416,4709120413849952256
HD8077,19.7733590391387,-53.8505312410068,8474-500-1,6165,4914402632073741696,4914402636370132352
