,star,ra,dec,comment,ra_deg,dec_deg,MAIN_ID,RA_2_A_ICRS_J2017_5_2000,DEC_2_D_ICRS_2017_5_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,FLUX_I,FLUX_H,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,S_Type
0,HIP 159 ,00:02:02.6 ,-02:45:58.2 ,H-coron (~1 hr),0.5108333333333329,-2.76616666666667,b'V* BU Psc',00 02 02.6617,-02 45 58.217,64.7027,,pc,-0.3751,0.3751,paral,2018yCat.1345....0G,,,,,,,,,6.270999908447266,0,,,,b'',,,A8/9V
1,HD 105 ,00:05:52.5 ,-41:45:11.0 ,H-coron (~1 hr),1.46875,-41.7530555555556,b'HD    105',00 05 52.6977,-41 45 11.046,38.8457,,pc,-0.0842,0.0842,paral,2018yCat.1345....0G,,,,,,,,,6.189000129699707,6126,4.650000095367432,0.07999999821186066,,b'SUN',,2005ApJS..159..141V,G0V
2,HR 9 ,00:06:50.1 ,-23:06:27.1 ,H-coron (~1 hr); H-coron-pol,1.70875,-23.1075277777778,b'HD    203',00 06 50.2092,-23 06 27.147,39.9602,,pc,-0.0982,0.0982,paral,2018yCat.1345....0G,,,,,,,,5.739999771118164,5.330999851226807,6715,3.8499999046325684,,,b'',,2003AJ....125.1598L,F3V
3,HD 377 ,00:08:26 ,06:37:00 ,H-coron-pol; H-coron-pol,2.1083333333333303,6.61666666666667,b'HD    377',00 08 25.8482,+06 37 00.488,38.523,,pc,-0.0864,0.0864,paral,2018yCat.1345....0G,,,,,,,,6.900000095367432,6.14900016784668,5873,4.28000020980835,0.15000000596046448,,b'SUN',,2005ApJS..159..141V,G2V
4,HIP 795 ,00:09:51.6 ,08:27:11.5 ,H-coron (~1 hr),2.465,8.45319444444444,b'HD    531',00 09 51.7147,+08 27 11.409,,,,,,,,,,,,,,,,,5778,4.710000038146973,0.20999999344348907,,b'SUN',,2005ApJS..159..141V,G6V+G7V
5,HD 987 ,00:13:52.8 ,-74:41:17.5 ,H-coron (~1 hr),3.47,-74.6881944444444,b'HD    987',00 13 53.3764,-74 41 17.851,45.847,,pc,-0.0513,0.0513,paral,2018yCat.1345....0G,,,,,,,,7.933000087738037,7.086999893188477,5540,4.5,0.0,,b'SUN',,1994A&A...285..272T,G8V
6,HD 984 ,00:14:10.2 ,-07:11:56.8 ,H-coron (~1 hr),3.5425,-7.199111111111111,b'HD    984',00 14 10.3745,-07 11 56.814,45.9124,,pc,-0.1189,0.1189,paral,2018yCat.1345....0G,,,,,,,,,6.170000076293945,6490,4.829999923706055,0.09000000357627869,,b'SUN',,2005ApJS..159..141V,F7V
7,HD 1237 ,00:16:12.7 ,-79:51:04.0 ,H-coron (~1 hr),4.05291666666667,-79.8511111111111,b'HD   1237',00 16 15.5521,-79 51 04.244,17.5648,,pc,-0.0072,0.0072,paral,2018yCat.1345....0G,,,,,,,,,4.989999771118164,5336,4.420000076293945,,,b'',,2003AJ....125.1598L,G8V
8,HIP 1427 ,00:17:50.0 ,16:19:51.6 ,H-coron (~1 hr),4.45833333333333,16.331,b'*  39 Psc',00 17 50.2502,+16 19 51.648,47.0788,,pc,-0.133,0.133,paral,2018yCat.1345....0G,,,,,,,,6.699999809265137,6.090000152587891,6432,,,,b'SUN',,2011A&A...530A.138C,F6V
9,HD 1466 ,00:18:26.1 ,-63:28:39.0 ,H-coron (~1 hr); H-coron-pol,4.60875,-63.4775,b'HD   1466',00 18 26.3588,-63 28 38.981,42.9701,,pc,-0.0548,0.0548,paral,2018yCat.1345....0G,,,,,,,,,6.248000144958496,6147,,,,b'SUN',,2011A&A...530A.138C,F8V
10,HIP 1803 ,00:22:51.8 ,-12:12:34.0 ,H-coron (~1 hr),5.71583333333333,-12.2094444444444,b'*   9 Cet',00 22 52.2592,-12 12 33.972,21.3102,,pc,-0.0231,0.0231,paral,2018yCat.1345....0G,,,,,,,,,5.034999847412109,5756,4.400000095367432,,,b'',,2003AJ....125.1598L,G2.5V
11,HIP 2072 ,00:26:12.1 ,-43:40:47.7 ,H-coron (~1 hr),6.55041666666667,-43.6799166666667,b'* kap Phe',00 26 12.3731,-43 40 47.392,22.2639,,pc,-0.2233,0.2233,paral,2018yCat.1345....0G,,,,,,,,3.700000047683716,3.5399999618530273,7922,3.9700000286102295,,,b'',,2003AJ....125.1598L,A5IVn
12,HIP 2472 ,00:31:25.0 ,-48:48:12.7 ,H-coron (~1 hr); H-coron-pol,7.85416666666667,-48.803527777777795,b'* lam01 Phe',00 31 25.2298,-48 48 12.675,56.1284,,pc,-0.7019,0.7019,paral,2018yCat.1345....0G,,,,,,,,,4.770999908447266,0,,,,b'',,,A1Va
13,* bet01 Tuc ,00:31:32.6 ,-62:57:29.5 ,H-coron (~1 hr),7.885833333333331,-62.9581944444444,b'* bet01 Tuc',00 31 32.8827,-62 57 29.587,42.993,,pc,-0.4567,0.4567,paral,2018yCat.1345....0G,,,,,,,,,4.677000045776367,10825,,,,b'SUN',,2005A&A...444..941P,B8/A0
14,HIP 2729 ,00:34:51.2 ,-61:54:58.0 ,H-coron (~1 hr),8.71333333333333,-61.9161111111111,b'HD   3221',00 34 51.4217,-61 54 58.129,44.4988,,pc,-0.0499,0.0499,paral,2018yCat.1345....0G,,,,,,,,8.23799991607666,6.7210001945495605,4376,,,,b'SUN',,2014ApJ...792...37M,K4Ve
15,HIP 2841 ,00:36:00.8 ,-59:43:01.9 ,H-coron (~1 hr),9.00333333333333,-59.7171944444444,b'HD   3375',00 36 01.0698,-59 43 02.054,57.0985,,pc,-0.0955,0.0955,paral,2018yCat.1345....0G,,,,,,,,,6.059000015258789,7164,,,,b'SUN',,2011A&A...530A.138C,F2V
16,HIP 3203 ,00:40:47.5 ,-07:13:56.6 ,H-coron (~1 hr),10.1979166666667,-7.23238888888889,b'HD   3821',00 40 47.4837,-07 13 57.377,,,,,,,,,,,,,,,,,5828,4.460000038146973,-0.05999999865889549,,b'SUN',,2005ApJS..159..141V,G1V+K5V
17,HIP 3210 ,00:40:51.6 ,-53:12:35.7 ,H-coron (~1 hr); H-coron-pol,10.215,-53.2099166666667,b'HD   3888',00 40 51.7969,-53 12 35.698,44.1766,,pc,-0.0603,0.0603,paral,2018yCat.1345....0G,,,,,,,,,6.2170000076293945,6378,,,,b'SUN',,2011A&A...530A.138C,F7V
18,HIP 3277 ,00:41:46.3 ,-56:30:05.2 ,H-coron (~1 hr),10.442916666666699,-56.5014444444444,b'* ksi Phe',00 41 46.5883,-56 30 04.735,68.4336,,pc,-0.4229,0.4229,paral,2018yCat.1345....0G,8020000.0,,km,,V,Interfer,2014MNRAS.443.1629S,,5.584000110626221,0,,,,b'',,,A3VpSrCr_Ksn
19,HIP 3540 ,00:45:11.0 ,00:15:11.8 ,H-coron (~1 hr),11.295833333333302,0.25327777777777805,b'HD   4271',00 45 11.2714,+00 15 11.832,40.9774,,pc,-0.1711,0.1711,paral,2018yCat.1345....0G,,,,,,,,6.400000095367432,5.693999767303467,6273,4.519999980926514,0.07999999821186066,,b'',,2018MNRAS.479.1332M,F7/8V
20,HD 4944 ,00:50:24.3 ,-64:04:04.0 ,H-coron (~1 hr),12.60125,-64.06777777777779,b'HD   4944',00 50 24.5458,-64 04 04.013,55.4545,,pc,-0.0892,0.0892,paral,2018yCat.1345....0G,,,,,,,,,6.714000225067139,0,,,,b'',,,F7V
21,HIP 4290 ,00:54:59.3 ,24:06:01.0 ,H-coron (~1 hr),13.747083333333302,24.1002777777778,b'HD   5294',00 54 59.0338,+24 06 00.975,29.9171,,pc,-0.0451,0.0451,paral,2018yCat.1345....0G,,,,,,,,6.699999809265137,5.940000057220459,5779,,,,b'SUN',,2004A&A...427..933K,G5
22,HIP 5373 ,01:08:45.7 ,-25:51:40.0 ,H-coron (~1 hr),17.1904166666667,-25.861111111111104,b'HD   6838',01 08 45.8071,-25 51 40.051,35.7191,,pc,-0.086,0.086,paral,2018yCat.1345....0G,,,,,,,,,6.796000003814697,5149,4.570000171661377,,,b'',,2003AJ....125.1598L,K0V
23,HD 7112 ,01:09:56.6 ,-64:21:33.1 ,H-coron (~1 hr); H-coron-pol,17.4858333333333,-64.3591944444444,b'HD   7112',01 09 56.6049,-64 21 33.157,50.6758,,pc,-0.0804,0.0804,paral,2018yCat.1345....0G,,,,,,,,,7.252999782562256,5742,4.570000171661377,,,b'SUN',,2014MNRAS.442..220F,G5V
24,TYC 6427-300-1,01:12:40.5 ,-29:10:46.5 ,H-coron (~1 hr),18.16875,-29.1795833333333,b'V* AN Scl',01 12 40.7038,-29 10 46.437,109.3589,,pc,-0.5501,0.5501,paral,2018yCat.1345....0G,,,,,,,,7.89300012588501,6.681000232696533,0,,,,b'',,,K0III
