,MAIN_ID,RA_2_A_ICRS_J2017_5_2000,DEC_2_D_ICRS_2017_5_2000,SP_TYPE,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,FLUX_I,FLUX_H,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,TWA,S_Type,ID
0,b'V* TW Hya',11 01 51.8083,-34 42 17.031,b'K6Ve',60.086,,pc,-0.1501,0.1501,paral,2018yCat.1345....0G,773000.0,,km,,,,2007ApJ...660.1556R,9.180000305175781,7.558000087738037,4057,,-0.09000000357627869,,b'SUN',,2014MNRAS.443.2561G,1,K6Ve,V* TW Hya
1,b'CD-29  8887',11 09 13.6749,-30 01 40.070,b'M2Ve',46.0806,,pc,-1.3811,1.3811,paral,2018yCat.1345....0G,,,,,,,,8.875,6.927000045776367,3704,,0.11999999731779099,,b'SUN',,2014MNRAS.443.2561G,2,M2Ve,CD-29  8887
2,b'Hen 3-600',11 10 27.738,-37 31 51.97,b'M4Ve+M4Ve',5.0,,pc,,,ST-L,2006AJ....132..866R,,,,,,,,9.289999961853027,7.040999889373779,0,,,,b'',,,3,M4Ve+M4Ve,Hen 3-600
3,b'HD  98800',11 22 05.1800,-24 46 39.757,b'K5V(e)',46.7,,pc,,,,2004ARA&A..42..685Z,1370000.0,,km,,,,2007ApJ...660.1556R,7.386000156402588,5.758999824523926,4434,4.559999942779541,,,b'SUN',,2014MNRAS.442..220F,4,K5V(e),HD  98800
4,b'CD-33  7795',11 31 55.1407,-34 36 27.214,b'M2Ve',49.3786,,pc,-0.1429,0.1429,paral,2018yCat.1345....0G,,,,,,,,9.149999618530273,6.986999988555908,3650,,0.10000000149011612,,b'SUN',,2014MNRAS.443.2561G,5A,M2Ve,CD-33  7795
5,b'CD-33  7795B',11 31 55.4,-34 36 29,b'',,,,,,,,,,,,,,,15.800000190734863,,0,,,,b'',,,5B,,CD-33  7795B
6,b'V* BX Ant',10 18 28.6211,-31 50 02.826,b'M0Ve',65.6444,,pc,-0.1383,0.1383,paral,2018yCat.1345....0G,696000.0,,km,,V,,2009A&ARv..17..251S,9.324999809265137,8.180000305175781,0,,,,b'',,,6,M0Ve,V* BX Ant
7,b'V* CE Ant',10 42 29.9354,-33 40 16.226,b'M2Ve',34.029,,pc,-0.0762,0.0762,paral,2018yCat.1345....0G,,,,,,,,9.100000381469727,7.125,0,,,,b'',,,7,M2Ve,V* CE Ant
8,b'CD-26  8623',11 32 41.1473,-26 51 55.961,b'M3Ve',46.2747,,pc,-0.1842,0.1842,paral,2018yCat.1345....0G,,,,,,,,9.63700008392334,7.663000106811523,0,,,,b'',,,8A,M3Ve,CD-26  8623
9,b'CD-26  8623B',11 32 41.0543,-26 52 09.110,b'M5.5',46.4589,,pc,-0.2478,0.2478,paral,2018yCat.1345....0G,,,,,,,,11.760000228881836,9.276000022888184,0,,,,b'',,,8B,M5.5,CD-26  8623B
