M           age     RvRJ     logL
1590.    0.01012   1.404    -4.42
1590.    0.01158   1.384    -4.49
1590.    0.01333   1.365    -4.57
1590.    0.01434   1.356    -4.61
1590.    0.01667   1.337    -4.69
1590.    0.01802   1.328    -4.73
1590.    0.02118   1.310    -4.82
1590.    0.02304   1.302    -4.86
1590.    0.02744   1.284    -4.96
1590.    0.03006   1.276    -5.01
1590.    0.03304   1.267    -5.07
1590.    0.03643   1.259    -5.12
1590.    0.04031   1.251    -5.18
1590.    0.04479   1.243    -5.24
1590.    0.05600   1.226    -5.37
1590.    0.06300   1.218    -5.43
1590.    0.07118   1.210    -5.50
1590.    0.08074   1.203    -5.55
1590.    0.09171   1.195    -5.61
1590.    0.10439   1.187    -5.68
1590.    0.11912   1.179    -5.74
1590.    0.13637   1.171    -5.81
1590.    0.15658   1.164    -5.87
1590.    0.18022   1.156    -5.94
1590.    0.20817   1.148    -6.02
1590.    0.23986   1.141    -6.10
1590.    0.27155   1.135    -6.16
1590.    0.30323   1.130    -6.21
1590.    0.33492   1.125    -6.26
1590.    0.36661   1.120    -6.30
1590.    0.39830   1.117    -6.35
1590.    0.42999   1.113    -6.39
1590.    0.46168   1.110    -6.43
1590.    0.49336   1.107    -6.46
1590.    0.52505   1.104    -6.50
1590.    0.58843   1.099    -6.56
1590.    0.65180   1.095    -6.60
1590.    0.71518   1.091    -6.64
1590.    0.81024   1.086    -6.70
1590.    0.90531   1.081    -6.76
1590.    1.00037   1.077    -6.81
1590.    1.12712   1.072    -6.87
1590.    1.28557   1.067    -6.94
1590.    1.44401   1.063    -7.01
1590.    1.60245   1.059    -7.06
1590.    1.79257   1.055    -7.11
1590.    2.01439   1.051    -7.16
1590.    2.26790   1.047    -7.21
1590.    2.52140   1.043    -7.27
1590.    2.83828   1.039    -7.32
1590.    3.18685   1.035    -7.38
1590.    3.56711   1.031    -7.44
1590.    4.01074   1.028    -7.51
1590.    4.48606   1.024    -7.57
1590.    5.02476   1.021    -7.64
1590.    5.62683   1.018    -7.71
1590.    6.32397   1.015    -7.78
1590.    7.08449   1.012    -7.86
1590.    7.97175   1.010    -7.93
1590.    8.92239   1.007    -8.01
1590.   10.03150   1.005    -8.09
