,S_Type,Distance_distance,FLUX_I,FLUX_H,Fe_H_Teff,Class,subtype,Mbol,Lum,Teff,Mass
0,A8/9V,64.7027,,6.2709999084472665,0,A,8,2.61,7.112135136533293,7800.0,1.53
1,G0V,38.8457,,6.189000129699707,6126,G,0,4.33,1.4588142602753487,5950.0,1.04
2,F3V,39.9602,5.739999771118164,5.330999851226807,6715,F,3,3.425,3.3573761424295476,6865.0,1.27
3,G2V,38.523,6.9000000953674325,6.14900016784668,5873,G,2,4.54,1.2022644346174132,5770.0,0.986
4,G6V+G7V,,,,5778,G,6,4.9,0.8629785477669701,5510.0,0.879
5,G8V,45.847,7.933000087738037,7.0869998931884775,5540,G,8,5.09,0.7244359600749902,5370.0,0.829
6,F7V,45.9124,,6.170000076293945,6490,F,7,3.99,1.9952623149688797,6275.0,1.125
7,G8V,17.5648,,4.989999771118164,5336,G,8,5.09,0.7244359600749902,5370.0,0.829
8,F6V,47.0788,6.699999809265138,6.0900001525878915,6432,F,6,3.86,2.2490546058357817,6400.0,1.16
9,F8V,42.9701,,6.248000144958496,6147,F,8,4.12,1.7701089583174212,6150.0,1.09
10,G2.5V,21.3102,,5.0349998474121085,5756,G,2,4.54,1.2022644346174132,5770.0,0.986
11,A5IVn,22.2639,3.7000000476837163,3.539999961853028,7922,A,5,2.1149999999999998,11.220184543019641,8410.0,1.725
12,A1Va,56.1284,,4.7709999084472665,0,A,1,1.44,20.892961308540407,9370.0,2.005
13,B8/A0,42.993,,4.677000045776367,10825,B,8,-0.1,86.29785477669702,12000.0,2.84
14,K4Ve,44.4988,8.23799991607666,6.7210001945495605,4376,K,4,6.02,0.307609681474071,4590.0,0.693
15,F2V,57.0985,,6.059000015258789,7164,F,2,3.27,3.8725764492161727,7040.0,1.31
16,G1V+K5V,,,,5828,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
17,F7V,44.1766,,6.2170000076293945,6378,F,7,3.99,1.9952623149688797,6275.0,1.125
18,A3VpSrCr_Ksn,68.4336,,5.584000110626222,0,A,3,1.795,15.066070661867425,8830.0,1.865
19,F7/8V,40.9774,6.4000000953674325,5.693999767303468,6273,F,7,3.99,1.9952623149688797,6275.0,1.125
20,F7V,55.4545,,6.714000225067139,0,F,7,3.99,1.9952623149688797,6275.0,1.125
21,G5,29.9171,6.699999809265138,5.940000057220459,5779,G,5,4.805,0.9418895965228418,5575.0,0.906
22,K0V,35.7191,,6.796000003814697,5149,K,0,5.31,0.5915616341754742,5200.0,0.781
23,G5V,50.6758,,7.252999782562256,5742,G,5,4.805,0.9418895965228418,5575.0,0.906
24,K0III,109.3589,7.89300012588501,6.681000232696532,0,K,0,5.31,0.5915616341754742,5200.0,0.781
25,F7V,41.2376,,5.0879998207092285,6848,F,7,3.99,1.9952623149688797,6275.0,1.125
26,F6V,87.4929,,7.664000034332275,0,F,6,3.86,2.2490546058357817,6400.0,1.16
27,G9V,35.3321,,6.65399980545044,5421,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
28,G7V,45.3145,7.7729997634887695,6.946000099182129,5597,G,7,4.995,0.7906786279998251,5440.0,0.854
29,G6V,46.3521,,6.861999988555907,5777,G,6,4.9,0.8629785477669701,5510.0,0.879
30,K1V,39.8438,,6.943999767303468,4720,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
31,A0V,70.8331,,5.026000022888184,9333,A,0,1.24,25.11886431509581,9700.0,2.07
32,A1V,57.0666,5.539999961853027,5.527999877929688,8790,A,1,1.44,20.892961308540407,9370.0,2.005
33,K0/1V,24.0441,6.816999912261963,5.9000000953674325,5415,K,0,5.31,0.5915616341754742,5200.0,0.781
34,G1V,26.726,,4.526000022888184,5782,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
35,F2IV/V,71.1541,7.130000114440918,6.689000129699707,6775,F,2,3.27,3.8725764492161727,7040.0,1.31
36,F9V,17.3444,,4.400000095367432,6222,F,9,4.225,1.6069412530128782,6050.0,1.065
37,G8V,3.6033,2.4100000858306885,1.7200000286102295,5358,G,8,5.09,0.7244359600749902,5370.0,0.829
38,A1V,60.9674,,5.026000022888184,9110,A,1,1.44,20.892961308540407,9370.0,2.005
39,F0V,65.5811,,6.35099983215332,6976,F,0,2.95,5.199959965335161,7420.0,1.4
40,G4V,41.4115,7.342999935150146,6.554999828338622,5691,G,4,4.71,1.0280162981264738,5640.0,0.933
41,G7V,49.5349,7.869999885559082,6.986000061035156,5551,G,7,4.995,0.7906786279998251,5440.0,0.854
42,F7V,45.61,,6.303999900817871,6263,F,7,3.99,1.9952623149688797,6275.0,1.125
43,B8IV,46.0955,3.75,3.8199999332427983,14180,B,8,-0.1,86.29785477669702,12000.0,2.84
44,G0V,73.9087,,7.328000068664551,6006,G,0,4.33,1.4588142602753487,5950.0,1.04
45,M1V,27.1928,,7.560999870300293,3849,M,1,8.12,0.04446312674691091,3550.0,0.358
46,G2V,50.391000000000005,,6.9099998474121085,5858,G,2,4.54,1.2022644346174132,5770.0,0.986
47,F4IV,49.004,6.329999923706055,5.860000133514403,6801,F,4,3.58,2.910717118066606,6690.0,1.23
48,K7V,11.5373,6.992000102996826,5.125999927520752,3831,K,7,6.66,0.17060823890031235,4125.0,0.616
49,F8V,57.8754,,6.699999809265138,0,F,8,4.12,1.7701089583174212,6150.0,1.09
50,G8V,58.6975,,6.632999897003174,0,G,8,5.09,0.7244359600749902,5370.0,0.829
51,F0/2III/IV,57.9321,6.329999923706055,5.9710001945495605,7025,F,0,2.95,5.199959965335161,7420.0,1.4
52,B9Va,47.3577,,4.433000087738037,10575,B,9,0.57,46.55860935229591,10850.0,2.455
53,A1Vb,40.4734,,4.619999885559082,9132,A,1,1.44,20.892961308540407,9370.0,2.005
54,F8VFe-0.4,21.9251,,4.65500020980835,6253,F,8,4.12,1.7701089583174212,6150.0,1.09
55,F6V,48.9409,,4.295000076293944,6702,F,6,3.86,2.2490546058357817,6400.0,1.16
57,K6Ve,44.4373,8.807000160217285,7.234000205993652,4100,K,6,6.44,0.20892961308540386,4260.0,0.647
