M           age     RvRJ     logL
20.    0.01011   0.513    -8.08
20.    0.01135   0.508    -8.13
20.    0.01276   0.502    -8.19
20.    0.01439   0.497    -8.24
20.    0.01626   0.491    -8.30
20.    0.01844   0.486    -8.37
20.    0.02099   0.481    -8.43
20.    0.02400   0.476    -8.50
20.    0.02755   0.471    -8.57
20.    0.03179   0.467    -8.65
20.    0.03686   0.462    -8.72
20.    0.04295   0.458    -8.80
20.    0.05025   0.454    -8.88
20.    0.05901   0.450    -8.96
20.    0.06953   0.447    -9.04
20.    0.08215   0.444    -9.13
20.    0.09729   0.441    -9.21
20.    0.11546   0.438    -9.29
20.    0.13727   0.435    -9.38
20.    0.16344   0.433    -9.46
20.    0.19484   0.430    -9.55
20.    0.22653   0.429    -9.62
20.    0.25821   0.427    -9.69
20.    0.28990   0.426    -9.75
20.    0.32159   0.425    -9.80
20.    0.35328   0.424    -9.85
20.    0.38497   0.423    -9.89
20.    0.41665   0.422    -9.94
20.    0.44834   0.421    -9.98
20.    0.48003   0.420   -10.01
20.    0.51172   0.420   -10.05
20.    0.54341   0.419   -10.08
20.    0.57510   0.419   -10.11
20.    0.60678   0.418   -10.14
20.    0.63847   0.418   -10.17
20.    0.67016   0.417   -10.20
20.    0.70185   0.417   -10.22
20.    0.73354   0.417   -10.25
20.    0.79691   0.416   -10.29
20.    0.89198   0.415   -10.36
20.    1.01873   0.414   -10.43
20.    1.14548   0.413   -10.50
20.    1.27223   0.413   -10.56
20.    1.43067   0.412   -10.63
20.    1.58911   0.411   -10.70
20.    1.77924   0.410   -10.76
20.    2.00106   0.410   -10.80
20.    2.25456   0.409   -10.83
20.    2.53976   0.408   -10.86
20.    2.82495   0.407   -10.89
20.    3.17352   0.407   -10.92
20.    3.55378   0.406   -10.95
20.    3.99741   0.405   -10.99
20.    4.47273   0.404   -11.02
20.    5.04312   0.403   -11.06
20.    5.64519   0.402   -11.10
20.    6.31064   0.401   -11.15
20.    7.10284   0.400   -11.19
20.    7.95842   0.399   -11.24
20.    8.94075   0.397   -11.29
20.   10.01810   0.396   -11.35
